,Accuracy,Precision,Recall,F1-Score,ROC AUC
Random Forest,0.6981132075471698,0.7384615384615385,0.8727272727272727,0.8,0.5894248608534323
XGBoost,0.6855345911949685,0.7459016393442623,0.8272727272727273,0.7844827586206896,0.5973098330241187
Neural Network,0.6855345911949685,0.7380952380952381,0.8454545454545455,0.788135593220339,0.5859925788497218
Explanation,Overall correctness of the model (correct predictions / total predictions). Higher is better.,Proportion of true positive predictions among all positive predictions.,Proportion of actual positive cases correctly predicted.,Harmonic mean of Precision and Recall.,"Area under the ROC curve, measuring class separation ability."
