,Accuracy,Precision,Recall,F1-Score,ROC AUC
Random Forest,0.6981132075471698,0.7421875,0.8636363636363636,0.7983193277310925,0.5950834879406308
XGBoost,0.6855345911949685,0.7542372881355932,0.8090909090909091,0.7807017543859649,0.6086270871985158
Neural Network,0.6855345911949685,0.7419354838709677,0.8363636363636363,0.7863247863247863,0.5916512059369202
Explanation,Overall correctness of the model (correct predictions / total predictions). Higher is better.,Proportion of true positive predictions among all positive predictions.,Proportion of actual positive cases correctly predicted.,Harmonic mean of Precision and Recall.,"Area under the ROC curve, measuring class separation ability."
